Word,Tag,Index,Polarity,Positive,Negative,Objective
kitty,n,,objective,0.0,0.0,1.0
shit,n,,negative,0.0,1.0,0.0
hurt,v,,negative,0.0,1.0,0.0
postulate,v,,objective,0.125,0.125,0.75
win_over,v,,positive,0.5,0.0,0.5
toss_out,v,,objective,0.13,0.13,0.74
bingle,n,,objective,0.0,0.0,1.0
interest,n,,objective,0.0,0.0,1.0
maize,n,,objective,0.0,0.0,1.0
pick_up,v,,objective,0.0,0.0,1.0
beneficial,a,,positive,1.0,0.0,0.0
narration,n,,objective,0.0,0.0,1.0
killer,n,,negative,0.0,1.0,0.0
judicious,a,,positive,1.0,0.0,0.0
circle,n,,objective,0.0,0.0,1.0
wise,n,,objective,0.0,0.0,1.0
salutary,a,,positive,1.0,0.0,0.0
rescue,n,,positive,1.0,0.0,0.0
abstract,v,,objective,0.0,0.0,1.0
vex,v,,negative,0.0,0.75,0.25
arab_republic_of_egypt,n,,objective,0.0,0.0,1.0
one_dollar_bill,n,,objective,0.0,0.0,1.0
drear,a,,negative,0.0,1.0,0.0
stadium,n,,objective,0.0,0.0,1.0
purple,a,,objective,0.0,0.0,1.0
wonderment,n,,positive,1.0,0.0,0.0
come_along,v,,positive,1.0,0.0,0.0
knowledge,n,,objective,0.0,0.0,1.0
rophy,n,,negative,0.0,1.0,0.0
tea_cozey,n,,objective,0.0,0.0,1.0
flicker,n,,objective,0.0,0.0,1.0
articulate,v,,objective,0.0,0.0,1.0
play,v,,positive,1.0,0.0,0.0
centred,n,,objective,0.0,0.0,1.0
why,r,,objective,0.0,0.0,1.0
abstractionist,a,,objective,0.0,0.0,1.0
marker,n,,objective,0.0,0.0,1.0
material,a,,objective,0.0,0.0,1.0
plural,n,,objective,0.0,0.0,1.0
interlocking,n,,objective,0.0,0.0,1.0
precis,n,,objective,0.0,0.0,1.0
canvas,n,,objective,0.0,0.0,1.0
cosey,n,,objective,0.0,0.0,1.0
cellular_telephone,n,,objective,0.0,0.0,1.0
disdain,v,,negative,0.0,1.0,0.0
bay_window,n,,objective,0.0,0.0,1.0
nip,n,,objective,0.0,0.0,1.0
cast_out,v,,objective,0.13,0.13,0.74
isaac_mayer_wise,n,,objective,0.0,0.0,1.0
send_off,v,,objective,0.0,0.0,1.0
sweet,n,,objective,0.0,0.0,1.0
choson,n,,objective,0.0,0.0,1.0
march_on,v,,objective,0.0,0.0,1.0
propose,v,,objective,0.0,0.0,1.0
terminal_figure,n,,objective,0.0,0.0,1.0
frightful,a,,negative,0.0,1.0,0.0
gain_ground,v,,positive,0.75,0.0,0.25
potbelly,n,,objective,0.0,0.0,1.0
round,n,,objective,0.0,0.0,1.0
recoil,n,,objective,0.0,0.0,1.0
valorousness,n,,positive,1.0,0.0,0.0
asshole,n,,negative,0.0,1.0,0.0
burnish,n,,positive,0.25,0.0,0.75
withering,n,,negative,0.0,1.0,0.0
pose,v,,negative,0.0,0.75,0.25
governing,n,,objective,0.0,0.0,1.0
