Word,Tag,Index,Polarity,Positive,Negative,Objective
hot,a,21,objective,0.0,0.0,1.0
traffic_circle,n,01,objective,0.0,0.0,1.0
descent,n,02,objective,0.0,0.0,1.0
obsolete,a,02,objective,0.0,0.0,1.0
project,v,08,objective,0.0,0.0,1.0
on_the_far_side,r,01,objective,0.0,0.0,1.0
dresser,n,04,objective,0.0,0.0,1.0
discard,n,02,objective,0.0,0.0,1.0
wonderful,a,01,positive,1.0,0.0,0.0
iron_heel,n,01,negative,0.0,0.5,0.5
mesh,v,01,objective,0.0,0.0,1.0
negotiate,v,01,objective,0.0,0.0,1.0
spicy,a,03,objective,0.0,0.0,1.0
wedding,n,01,objective,0.0,0.0,1.0
collar,n,05,objective,0.13,0.13,0.74
c,n,06,objective,0.0,0.0,1.0
good,a,17,positive,1.0,0.0,0.0
beginning,n,04,objective,0.0,0.0,1.0
need,n,01,negative,0.0,0.5,0.5
real_number,n,01,objective,0.0,0.0,1.0
stock,n,06,objective,0.0,0.0,1.0
suit,n,05,positive,0.75,0.0,0.25
inferno,n,01,negative,0.0,1.0,0.0
yip,v,01,objective,0.0,0.0,1.0
intelligible,a,01,positive,0.25,0.0,0.75
see,v,07,objective,0.0,0.0,1.0
dollar,n,04,negative,0.0,0.25,0.75
boot,n,04,objective,0.0,0.0,1.0
account_book,n,01,objective,0.0,0.0,1.0
consistent,a,04,objective,0.0,0.0,1.0
upright,n,01,objective,0.0,0.0,1.0
get,v,33,negative,0.0,0.75,0.25
booze,n,01,objective,0.0,0.0,1.0
burning,n,03,objective,0.0,0.0,1.0
ring,v,04,objective,0.0,0.0,1.0
babble,v,03,objective,0.0,0.0,1.0
strong_drink,n,01,objective,0.0,0.0,1.0
upright,a,01,objective,0.0,0.0,1.0
blaze,n,02,negative,0.0,1.0,0.0
idiom,n,04,objective,0.0,0.0,1.0
destroy,v,01,negative,0.0,1.0,0.0
nip,n,03,objective,0.0,0.0,1.0
together,r,04,positive,0.25,0.0,0.75
crump,v,01,objective,0.0,0.0,1.0
reanimate,v,01,positive,1.0,0.0,0.0
cell,n,04,objective,0.0,0.0,1.0
rescue,n,01,positive,1.0,0.0,0.0
snatch,n,05,objective,0.0,0.0,1.0
lowly,a,03,negative,0.0,0.25,0.75
operate,v,06,objective,0.0,0.0,1.0
terrific,a,02,positive,1.0,0.0,0.0
despite,n,01,negative,0.0,1.0,0.0
abandon,v,05,negative,0.0,1.0,0.0
apprehensible,a,01,positive,0.25,0.0,0.75
revivify,v,01,positive,1.0,0.0,0.0
sweet,n,03,objective,0.0,0.0,1.0
circle,v,01,objective,0.0,0.0,1.0
inactive,a,11,objective,0.0,0.0,1.0
wangle,v,02,negative,0.0,1.0,0.0
real,a,04,positive,1.0,0.0,0.0
toss_away,v,01,objective,0.13,0.13,0.74
sombre,a,02,negative,0.0,0.25,0.75
clump,n,02,objective,0.0,0.0,1.0
rhythm,n,01,objective,0.0,0.0,1.0
shortcoming,n,01,negative,0.0,1.0,0.0
real,a,07,objective,0.0,0.0,1.0
thud,v,02,objective,0.0,0.0,1.0
ct,n,02,objective,0.0,0.0,1.0
clapping,n,01,positive,0.5,0.0,0.5
aloud,r,01,objective,0.0,0.0,1.0
corn,n,06,objective,0.0,0.0,1.0
traverse,n,02,objective,0.0,0.0,1.0
bathe,n,01,objective,0.0,0.0,1.0
stephen_collins_foster,n,01,objective,0.0,0.0,1.0
monitor,n,06,objective,0.0,0.0,1.0
disturb,v,02,negative,0.0,0.25,0.75
sweet,n,02,objective,0.0,0.0,1.0
demand,n,03,negative,0.0,0.5,0.5
gratify,v,01,positive,1.0,0.0,0.0
overture,n,03,objective,0.13,0.13,0.74
horrible,a,01,negative,0.0,1.0,0.0
wise,a,05,positive,0.5,0.0,0.5
turn_down,v,03,negative,0.0,1.0,0.0
grab,v,01,objective,0.0,0.0,1.0
hell,n,01,negative,0.0,1.0,0.0
atrocious,a,03,negative,0.0,1.0,0.0
unknowing,a,01,negative,0.0,1.0,0.0
fruit,v,02,objective,0.0,0.0,1.0
noesis,n,01,objective,0.0,0.0,1.0
smoke,n,06,objective,0.0,0.0,1.0
miner,n,01,objective,0.0,0.0,1.0
cosy,n,01,objective,0.0,0.0,1.0
inception,n,01,objective,0.0,0.0,1.0
polish,n,02,positive,1.0,0.0,0.0
advance,v,12,objective,0.0,0.0,1.0
distinctive,a,02,objective,0.0,0.0,1.0
baseball_game,n,01,objective,0.0,0.0,1.0
bubble,v,01,objective,0.0,0.0,1.0
grandness,n,03,positive,1.0,0.0,0.0
caranx_crysos,n,01,objective,0.0,0.0,1.0
animate,v,04,positive,1.0,0.0,0.0
wise,a,02,positive,1.0,0.0,0.0
advance,a,01,positive,0.25,0.0,0.75
empurpled,n,01,objective,0.0,0.0,1.0
harmful,a,05,negative,0.0,1.0,0.0
selfishness,n,01,negative,0.0,1.0,0.0
hombre,n,01,objective,0.25,0.25,0.5
flaw,n,01,negative,0.0,1.0,0.0
gurgle,v,01,objective,0.0,0.0,1.0
dressing_table,n,01,objective,0.0,0.0,1.0
religious,n,01,objective,0.0,0.0,1.0
manipulate,v,02,objective,0.0,0.0,1.0
corn,v,01,objective,0.0,0.0,1.0
pick_up,v,14,objective,0.0,0.0,1.0
conduct,v,03,objective,0.0,0.0,1.0
stir_up,v,03,negative,0.0,0.25,0.75
enmesh,v,01,negative,0.0,0.5,0.5
nonplus,v,01,negative,0.0,0.75,0.25
affair,n,01,objective,0.0,0.0,1.0
courting,n,01,positive,0.75,0.0,0.25
refine,v,06,positive,0.25,0.0,0.75
valorousness,n,01,positive,1.0,0.0,0.0
win,v,03,positive,0.75,0.0,0.25
noted,a,01,positive,1.0,0.0,0.0
slaughter,n,03,negative,0.0,1.0,0.0
defect,n,03,negative,0.0,1.0,0.0
muriel_sarah_spark,n,01,objective,0.0,0.0,1.0
anguish,n,02,negative,0.0,1.0,0.0
contradiction,n,02,objective,0.0,0.0,1.0
confection,n,01,objective,0.0,0.0,1.0
able,a,02,positive,1.0,0.0,0.0
suffering,n,02,negative,0.0,1.0,0.0
loud,r,01,objective,0.0,0.0,1.0
knowing,a,01,positive,0.5,0.0,0.5
cocksucker,n,02,negative,0.0,1.0,0.0
insurance_policy,n,01,objective,0.0,0.0,1.0
sturdy,a,01,positive,0.75,0.0,0.25
maize,n,01,objective,0.0,0.0,1.0
killer,n,01,negative,0.0,1.0,0.0
imperative,n,01,objective,0.0,0.0,1.0
renowned,a,01,positive,1.0,0.0,0.0
involvement,n,03,positive,0.5,0.0,0.5
authorities,n,01,objective,0.0,0.0,1.0
formulate,v,03,objective,0.0,0.0,1.0
expense,n,01,objective,0.0,0.0,1.0
noble,a,01,positive,1.0,0.0,0.0
corn_whiskey,n,01,objective,0.0,0.0,1.0
palliate,v,02,positive,1.0,0.0,0.0
monitor,n,05,objective,0.0,0.0,1.0
good,a,09,positive,1.0,0.0,0.0
federal,n,01,objective,0.0,0.0,1.0
upright,n,02,objective,0.0,0.0,1.0
good,r,01,positive,1.0,0.0,0.0
vile,a,01,negative,0.0,1.0,0.0
disturb,v,01,negative,0.0,1.0,0.0
brush_up,v,02,positive,1.0,0.0,0.0
necessitate,v,01,objective,0.125,0.125,0.75
unqualified,a,03,negative,0.0,0.5,0.5
yearn,v,01,objective,0.375,0.375,0.25
pooh-pooh,v,02,negative,0.0,1.0,0.0
federal,a,04,objective,0.0,0.0,1.0
rearing,a,01,objective,0.0,0.0,1.0
activate,v,01,objective,0.0,0.0,1.0
explosive,a,02,negative,0.0,0.75,0.25
abstract,n,02,objective,0.0,0.0,1.0
upright,a,04,objective,0.0,0.0,1.0
excitement,n,02,objective,0.38,0.38,0.24
sheet,n,03,objective,0.0,0.0,1.0
calumnious,a,01,negative,0.0,1.0,0.0
soh,n,01,objective,0.0,0.0,1.0
project,v,11,objective,0.0,0.0,1.0
raising,n,02,objective,0.0,0.0,1.0
butchery,n,01,objective,0.0,0.0,1.0
soundness,n,01,positive,1.0,0.0,0.0
labor,n,07,objective,0.0,0.0,1.0
disused,a,01,objective,0.0,0.0,1.0
circle,n,05,objective,0.0,0.0,1.0
together,r,02,objective,0.0,0.0,1.0
spice,v,02,objective,0.0,0.0,1.0
religious,a,02,objective,0.0,0.0,1.0
marking,n,01,objective,0.0,0.0,1.0
stoicism,n,02,objective,0.0,0.0,1.0
reboot,v,01,objective,0.0,0.0,1.0
in_the_main,r,01,objective,0.0,0.0,1.0
