Word,Tag,Index,Polarity,Positive,Negative,Objective
mangle,v,03,negative,0.0,1.0,0.0
courtship,n,01,positive,0.75,0.0,0.25
abattoir,n,01,objective,0.0,0.0,1.0
narrative,n,01,objective,0.0,0.0,1.0
sweetness,n,02,objective,0.0,0.0,1.0
cynical,a,01,negative,0.0,1.0,0.0
thing,n,12,objective,0.0,0.0,1.0
thing,n,11,objective,0.375,0.375,0.25
thing,n,10,objective,0.0,0.0,1.0
progress,v,01,positive,1.0,0.0,0.0
overpowering,a,01,objective,0.38,0.38,0.24
thorax,n,02,objective,0.0,0.0,1.0
comprehensive,a,02,positive,0.25,0.0,0.75
loveless,a,01,negative,0.0,1.0,0.0
shroud,n,01,objective,0.0,0.0,1.0
noble,a,01,positive,1.0,0.0,0.0
loveless,a,02,negative,0.0,1.0,0.0
admonisher,n,01,positive,0.25,0.0,0.75
applause,n,01,positive,0.5,0.0,0.5
beneficent,a,03,positive,1.0,0.0,0.0
individually,r,01,objective,0.0,0.0,1.0
jointly,r,02,objective,0.0,0.0,1.0
pain,v,02,negative,0.0,1.0,0.0
advance,v,12,objective,0.0,0.0,1.0
advance,v,11,objective,0.0,0.0,1.0
advance,v,10,objective,0.0,0.0,1.0
rampant,a,01,negative,0.0,1.0,0.0
rampant,a,02,objective,0.0,0.0,1.0
matter,n,02,objective,0.0,0.0,1.0
undertaking,n,01,objective,0.0,0.0,1.0
flicker,n,01,objective,0.0,0.0,1.0
wonder,v,02,negative,0.0,0.25,0.75
wonder,v,03,positive,1.0,0.0,0.0
wonder,v,01,positive,0.25,0.0,0.75
bang,n,04,positive,1.0,0.0,0.0
egyptian_empire,n,01,objective,0.0,0.0,1.0
wise,n,03,objective,0.0,0.0,1.0
wise,n,02,objective,0.0,0.0,1.0
wise,n,01,objective,0.0,0.0,1.0
brilliance,n,03,positive,1.0,0.0,0.0
considered,a,02,positive,0.5,0.0,0.5
religious,a,02,objective,0.0,0.0,1.0
able,a,01,objective,0.0,0.0,1.0
cell,n,06,objective,0.0,0.0,1.0
cell,n,04,objective,0.0,0.0,1.0
cell,n,03,objective,0.0,0.0,1.0
cell,n,02,objective,0.0,0.0,1.0
cell,n,01,objective,0.0,0.0,1.0
cellular_telephone,n,01,objective,0.0,0.0,1.0
asshole,n,01,negative,0.0,1.0,0.0
able,a,04,positive,1.0,0.0,0.0
nest,v,02,objective,0.0,0.0,1.0
nest,v,04,objective,0.0,0.0,1.0
able,a,02,positive,1.0,0.0,0.0
able,a,03,positive,0.75,0.0,0.25
catch,v,21,objective,0.0,0.0,1.0
catch,v,02,objective,0.0,0.0,1.0
misuse,n,01,negative,0.0,1.0,0.0
spark,v,02,objective,0.0,0.0,1.0
catch,v,27,objective,0.0,0.0,1.0
hot,a,15,positive,1.0,0.0,0.0
hot,a,17,positive,1.0,0.0,0.0
ocean,n,01,objective,0.0,0.0,1.0
trouble,n,04,negative,0.0,1.0,0.0
runner,n,08,objective,0.0,0.0,1.0
yelp,n,01,objective,0.0,0.0,1.0
defect,n,02,negative,0.0,1.0,0.0
export,n,01,objective,0.0,0.0,1.0
despicable,a,02,negative,0.0,1.0,0.0
polish,a,01,objective,0.0,0.0,1.0
cheerful,a,01,positive,1.0,0.0,0.0
conciliation,n,01,positive,0.75,0.0,0.25
adverse,a,01,negative,0.0,1.0,0.0
satisfy,v,02,positive,1.0,0.0,0.0
sensitive,a,05,negative,0.0,0.25,0.75
sensitive,a,04,negative,0.0,1.0,0.0
shark,n,01,objective,0.0,0.0,1.0
benevolent,a,03,positive,1.0,0.0,0.0
shark,n,03,positive,1.0,0.0,0.0
shark,n,02,negative,0.0,1.0,0.0
bathe,v,01,objective,0.0,0.0,1.0
bathe,v,02,positive,0.25,0.0,0.75
bathe,v,03,objective,0.0,0.0,1.0
korea,n,01,objective,0.0,0.0,1.0
then,r,01,objective,0.0,0.0,1.0
placation,n,01,positive,0.75,0.0,0.25
killer,n,03,negative,0.0,1.0,0.0
killer,n,01,negative,0.0,1.0,0.0
detail,n,02,objective,0.0,0.0,1.0
assumptive,a,01,negative,0.0,1.0,0.0
interest,v,01,positive,1.0,0.0,0.0
pot,n,09,objective,0.0,0.0,1.0
good,a,17,positive,1.0,0.0,0.0
good,a,15,positive,1.0,0.0,0.0
term,n,01,objective,0.0,0.0,1.0
pot,n,04,objective,0.0,0.0,1.0
good,a,18,positive,1.0,0.0,0.0
good,a,19,positive,1.0,0.0,0.0
pot,n,01,objective,0.0,0.0,1.0
term,n,04,objective,0.0,0.0,1.0
pot,n,03,objective,0.0,0.0,1.0
catch,n,09,objective,0.0,0.0,1.0
impetuous,a,02,negative,0.0,0.75,0.25
feign,v,01,negative,0.0,1.0,0.0
arch,v,01,objective,0.0,0.0,1.0
fruit,n,01,objective,0.0,0.0,1.0
misbehavior,n,01,negative,0.0,1.0,0.0
sol,n,03,objective,0.0,0.0,1.0
inactive,a,11,objective,0.0,0.0,1.0
subsequent,a,01,objective,0.0,0.0,1.0
catch,n,08,objective,0.0,0.0,1.0
keep,n,02,objective,0.0,0.0,1.0
cycle,n,01,objective,0.0,0.0,1.0
actual,a,03,objective,0.25,0.25,0.5
trip,v,04,objective,0.0,0.0,1.0
thud,v,02,objective,0.0,0.0,1.0
thud,v,01,objective,0.0,0.0,1.0
revert,v,02,objective,0.0,0.0,1.0
substitution,n,02,objective,0.0,0.0,1.0
cognition,n,01,objective,0.0,0.0,1.0
substitution,n,01,objective,0.0,0.0,1.0
suspend,v,02,objective,0.0,0.0,1.0
suspend,v,01,objective,0.0,0.0,1.0
hot,a,21,objective,0.0,0.0,1.0
appraisal,n,01,objective,0.0,0.0,1.0
negociate,v,06,objective,0.0,0.0,1.0
majestic,a,01,positive,1.0,0.0,0.0
electrostatic,a,01,objective,0.0,0.0,1.0
cameroon,n,02,objective,0.0,0.0,1.0
cameroon,n,01,objective,0.0,0.0,1.0
liar,n,01,negative,0.0,1.0,0.0
r-2,n,01,negative,0.0,1.0,0.0
science,n,01,objective,0.0,0.0,1.0
adjust,v,05,objective,0.0,0.0,1.0
cheer,v,01,positive,1.0,0.0,0.0
real,a,01,positive,0.25,0.0,0.75
ache,v,02,negative,0.0,0.75,0.25
gallant,a,03,positive,1.0,0.0,0.0
investment,n,02,objective,0.0,0.0,1.0
unentitled,a,01,negative,0.0,0.5,0.5
sexual_intercourse,n,01,objective,0.0,0.0,1.0
accommodate,v,04,objective,0.0,0.0,1.0
real,a,04,positive,1.0,0.0,0.0
real,a,05,negative,0.0,0.5,0.5
real,a,06,positive,0.5,0.0,0.5
dingy,a,03,negative,0.0,1.0,0.0
real,a,09,objective,0.0,0.0,1.0
good,n,02,positive,1.0,0.0,0.0
refine,v,05,negative,0.0,0.25,0.75
refine,v,06,positive,0.25,0.0,0.75
untrustworthy,a,01,negative,0.0,1.0,0.0
worthy,a,01,positive,1.0,0.0,0.0
refine,v,03,positive,0.25,0.0,0.75
condemnable,a,01,negative,0.0,1.0,0.0
miner,n,01,objective,0.0,0.0,1.0
injunction,n,01,negative,0.0,1.0,0.0
hawaii,n,01,objective,0.0,0.0,1.0
customer,n,01,objective,0.0,0.0,1.0
agitate,v,06,negative,0.0,0.25,0.75
give_voice,v,01,objective,0.0,0.0,1.0
liquor,n,01,objective,0.0,0.0,1.0
liquor,n,03,objective,0.0,0.0,1.0
liquor,n,02,objective,0.0,0.0,1.0
palatial,a,02,positive,0.5,0.0,0.5
disused,a,01,objective,0.0,0.0,1.0
bubble,n,04,objective,0.0,0.0,1.0
bubble,n,01,objective,0.0,0.0,1.0
marriage,n,03,objective,0.0,0.0,1.0
amiable,a,01,positive,1.0,0.0,0.0
contempt,n,03,negative,0.0,1.0,0.0
vacate,v,02,objective,0.0,0.0,1.0
sail,n,01,objective,0.0,0.0,1.0
federal,n,02,objective,0.0,0.0,1.0
federal,n,01,objective,0.0,0.0,1.0
ball,n,10,objective,0.0,0.0,1.0
desirable,a,02,positive,1.0,0.0,0.0
surround,v,01,objective,0.0,0.0,1.0
aloud,r,01,objective,0.0,0.0,1.0
atrophy,n,02,negative,0.0,1.0,0.0
atrophy,n,01,negative,0.0,1.0,0.0
fall,n,01,objective,0.0,0.0,1.0
corn,n,02,objective,0.0,0.0,1.0
zenith,n,01,objective,0.0,0.0,1.0
thrive,v,02,positive,1.0,0.0,0.0
fine,a,01,positive,1.0,0.0,0.0
inflexible,a,04,negative,0.0,1.0,0.0
project,v,08,objective,0.0,0.0,1.0
explosive,a,02,negative,0.0,0.75,0.25
project,v,04,objective,0.0,0.0,1.0
project,v,03,objective,0.0,0.0,1.0
collaborate,v,02,negative,0.0,1.0,0.0
abstract,v,01,objective,0.0,0.0,1.0
murder,v,01,negative,0.0,1.0,0.0
necessitate,v,01,objective,0.125,0.125,0.75
client,n,01,objective,0.0,0.0,1.0
distinguishing,a,01,objective,0.0,0.0,1.0
phrase,n,01,objective,0.0,0.0,1.0
phrase,n,02,objective,0.0,0.0,1.0
volunteer,v,01,positive,0.25,0.0,0.75
affluence,n,01,positive,1.0,0.0,0.0
dedicate,v,04,objective,0.0,0.0,1.0
abandon,v,05,negative,0.0,1.0,0.0
abandon,v,03,negative,0.0,0.25,0.75
abandon,v,02,negative,0.0,0.25,0.75
discard,n,02,objective,0.0,0.0,1.0
discard,n,03,objective,0.13,0.13,0.74
exact,a,01,positive,0.25,0.0,0.75
stick_out,v,01,objective,0.0,0.0,1.0
foster,v,02,positive,0.25,0.0,0.75
foster,v,03,positive,0.5,0.0,0.5
contradiction,n,03,negative,0.0,0.25,0.75
wisdom,n,04,positive,1.0,0.0,0.0
sturdy,a,02,positive,0.5,0.0,0.5
